Common Name,Family,Genus,Species
red maple,Sapindaceae,Acer,rubrum L.
American hornbeam,‎Betulaceae,Carpinus,caroliniana Walt.
coastal sweetpepperbush,Clethraceae,Clethra,alnifolia L.
starved panicgrass,Poaceae,Dichanthelium,depauperatum (Muhl.)Gould
intermediate woodfern,Dryopteridaceae,Dropteris,intermedia (Muhl.exWilld.)Gray
prairie fleabane,Asteraceae,Erigeron,strigosus Muhl.exWilld.
Virginia creeper,Vitaceae,Parthenocissus ,quinquefolia (L.)Planch.
red chokeberry,Rosaceae,Photinia,pyrifolia (Lam.)Robertson&Phipps
black cherry,Rosaceae,Prunus,serotina Ehrh.
roundleaf greenbrier,Smilacaceae,Smilax,rotundifolia L.
blackhaw,Adoxaceae,Viburnum,prunifolium L.
marsh blue violet,Violaceae,Viola,cucullata Ait.
sweetgum,Altingiaceae,Liquidambar,styraciflua L.
western brackenfern,Dennstaedtiaceae,Pteridium,aquilinum (L.)Kuhn
Allegheny blackberry,Rosaceae,Rubus,allegheniensis Porter
Virginia threeseed mercury,Euphorbiaceae,Acalypha,virginica L.
American chestnut,Fagaceae,Castanea,dentata (Marsh.)Borkh.
white wood aster,Asteraceae,Eurybia,divaricata (L.)Nesom
cinnamon fern,Osmundaceae,Osmunda,cinnamomea L.
northern red oak,Fagaceae,Quercus,rubra L.
flameleaf sumac,Anacardiaceae,Rhus,copallinum L.
mapleleaf viburnum,Caprifoliaceae,Viburnum,acerifolium L.
nimblewill,Poaceae,Muhlenbergia,schreberi J.F.Gmel.
sweetflag,Acoraceae,Acorus,americanus (Raf.)Raf.
northern water plantain,Alismataceae,Alisma,triviale Pursh
hazel alder,Betulaceae,Alnus ,serrulata (Ait.)Willd.
Canadian serviceberry,Rosaceae,Amelanchier,canadensis (L.)Medik.
Canadian anemone,Ranunculaceae,Anemone,canadensis L.
tall thimbleweed,Ranunculaceae,Anemone,virginiana L.
smooth rockcress,Brassicaceae,Arabis,laevigata (Muhl.exWilld.)Poir.
butterfly milkweed,Apocynaceae,Asclepias,tuberosa L.
common ladyfern,Dryopteridaceae,Athyrium,filix-femina (L.)Roth
devil's beggartick,Asteraceae,Bidens,frondosa L.
smallspike false nettle,Urticaceae,Boehmeria,cylindrica (L.)Sw.
fox sedge,Cyperaceae,Carex,vulpinoidea Michx.
American bittersweet,Celastraceae,Celastrus,scandens L.
common buttonbush,Rubiaceae,Cephalanthus,occidentalis L.
white turtlehead,Figwort,Chelone,glabra L.
striped prince's pine,Shinleaf,Chimaphila,maculata (L.)Pursh
spotted water hemlock,Apiaceae,Cicuta,maculata L.
scaldweed,Cuscutaceae,Cuscuta,gronovii Willd.exJ.A.Schultes
fragrant flatsedge,Cyperaceae,Cyperus,odoratus L.
prostrate ticktrefoil,Fabaceae,Desmodium,rotundifolium DC.
red fescue,Poaceae,Festuca,rubra L.
Virginia strawberry,Rosaceae,Fragaria,virginiana Duchesne
licorice bedstraw,Rubiaceae,Galium,circaezans Michx.
fragrant bedstraw,Rubiaceae,Galium,triflorum Michx.
black huckleberry,Ericaceae,Gaylussacia,baccata (Wangenh.)K.Koch
spotted geranium,Geraniaceae,Geranium,maculatum L.
American witchhazel,Hamamelidaceae,Hamamelis,virginiana L.
spotted St. Johnswort,Hypericaceae,Hypericum,punctatum Lam.